cpu_key,cpu_label,passmark_multi,passmark_single,cores,release_year,source
amd ryzen threadripper pro 9995wx,AMD Ryzen Threadripper PRO 9995WX,170935,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9755,AMD EPYC 9755,166328,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc embedded 9755,AMD EPYC Embedded 9755,164010,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9965,AMD EPYC 9965,160542,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9655p,AMD EPYC 9655P,160490,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9b45,AMD EPYC 9B45,158790,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9655,AMD EPYC 9655,156110,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9845,AMD EPYC 9845,152985,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen threadripper pro 9985wx,AMD Ryzen Threadripper PRO 9985WX,151373,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9575f,AMD EPYC 9575F,147998,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen threadripper 9980x,AMD Ryzen Threadripper 9980X,142812,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen threadripper pro 7995wx,AMD Ryzen Threadripper PRO 7995WX,141050,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen threadripper 7980x,AMD Ryzen Threadripper 7980X,135650,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9565,AMD EPYC 9565,135221,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9555p,AMD EPYC 9555P,135217,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9555 emb,AMD EPYC 9555 Emb,133832,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen threadripper pro 7985wx,AMD Ryzen Threadripper PRO 7985WX,131837,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9745,AMD EPYC 9745,130698,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon 6960p,Intel Xeon 6960P,130659,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9j14,AMD EPYC 9J14,124637,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9475f,AMD EPYC 9475F,122476,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9684x,AMD EPYC 9684X,122017,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9b14,AMD EPYC 9B14,119505,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9654,AMD EPYC 9654,119259,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon 6781p,Intel Xeon 6781P,117946,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9654p,AMD EPYC 9654P,117647,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9v74,AMD EPYC 9V74,117606,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9455p,AMD EPYC 9455P,116927,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc embedded 9654p,AMD EPYC Embedded 9654P,116927,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9r14,AMD EPYC 9R14,116475,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9754 emb,AMD EPYC 9754 Emb,115016,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9535,AMD EPYC 9535,114528,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9d25,AMD EPYC 9D25,114275,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9455 emb,AMD EPYC 9455 Emb,110697,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9634,AMD EPYC 9634,107944,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen threadripper 9970x,AMD Ryzen Threadripper 9970X,107379,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon 696x,Intel Xeon 696X,104974,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 9554p,AMD EPYC 9554P,104920,,,,PassMark (passmark_single_cpu_intel_amd.csv)
